sample_id,file_type,files
MG44-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG44-SN.bam
MG45-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG45-SN.bam
MG46-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG46-SN.bam
MG48-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG48-SN.bam
MG49-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG49-SN.bam
MG51-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG51-SN.bam
MG52-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG52-SN.bam
MG54-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG54-SN.bam
MG57-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG57-SN.bam
MG58-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG58-SN.bam
MG60-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG60-SN.bam
MG61-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG61-SN.bam
MG62-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG62-SN.bam
MG67-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG67-SN.bam
MG69-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG69-SN.bam
MG70-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG70-SN.bam
MG71-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG71-SN.bam
MG72-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG72-SN.bam
MG74-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG74-SN.bam
MG79-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG79-SN.bam
MG81-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG81-SN.bam
MG82-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG82-SN.bam
MG83-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG83-SN.bam
MG86-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG86-SN.bam
MG87-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG87-SN.bam
MG89-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG89-SN.bam
MG90-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG90-SN.bam
MG94-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG94-SN.bam
MG96-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG96-SN.bam
MG97-SN,bam,/sc/arion/projects/ad-omics/Jennifer/in_house_mg_data/fresh/bams/MG97-SN.bam
